"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ADTRP",1.79573383184823e-07,0.279386839169825,0.39,0.173,0.0040228029301064,"2","ADTRP"
"LLGL2",1.849941048138e-07,0.466555043464609,0.829,0.568,0.00414423793603875,"2","LLGL2"
"B4GALNT3",1.93622280641569e-07,0.314089938548296,0.368,0.131,0.00433752633093243,"2","B4GALNT3"
"RAPGEFL1",1.95522603904457e-07,0.368925615602103,0.457,0.181,0.00438009737266765,"2","RAPGEFL1"
"MUC5B",2.19310172009581e-07,0.527577711208042,0.59,0.297,0.00491298647335863,"2","MUC5B"
"MGST1",2.1986468923533e-07,0.588840282406779,0.927,0.679,0.00492540876824987,"2","MGST1"
"KRT81",2.3337894719496e-07,0.59801690944866,0.999,0.845,0.00522815517506148,"2","KRT8"
"COX7C",2.38459788206855e-07,0.611270900144516,0.994,0.982,0.00534197617540996,"2","COX7C"
"TMEM98",2.43307098591786e-07,0.602906032697218,0.819,0.514,0.0054505656226532,"2","TMEM98"
"SPTBN11",2.55664896489302e-07,0.261442952258755,0.788,0.597,0.00572740501115334,"2","SPTBN1"
"CHP1",2.5666152752648e-07,0.45469716013503,0.813,0.644,0.0057497315396482,"2","CHP1"
"ARHGAP44",2.61710778538887e-07,0.371744732923137,0.419,0.13,0.00586284486082814,"2","ARHGAP44"
"PRSS81",2.73159283031632e-07,0.286424307992276,0.758,0.511,0.00611931425847462,"2","PRSS8"
"MYO1C",2.78661753941214e-07,0.308285067669158,0.61,0.415,0.00624258061179108,"2","MYO1C"
"PPP1R1B2",2.99078929805981e-07,0.570073907524497,0.913,0.653,0.00669996618551358,"2","PPP1R1B"
"KIF1C",3.07537425264177e-07,0.317889446034391,0.567,0.357,0.00688945340076809,"2","KIF1C"
"RETREG1",3.39206483344471e-07,0.399594823300439,0.587,0.363,0.00759890363988285,"2","RETREG1"
"ACADVL",3.50394394379276e-07,0.339267180567141,0.879,0.734,0.00784953522288453,"2","ACADVL"
"SI",3.5132481629051e-07,0.274698214601817,0.284,0.066,0.00787037853454,"2","SI"
"PIGZ",3.71818054472898e-07,0.318713462702276,0.483,0.242,0.00832946805630187,"2","PIGZ"
"SCNN1B",3.93720959290954e-07,0.253893300136766,0.261,0.06,0.00882013693003594,"2","SCNN1B"
"SEMA4G",3.96596786934304e-07,0.467597784058084,0.515,0.176,0.00888456122090228,"2","SEMA4G"
"SUCLG1",3.97734965100712e-07,0.54396937664785,0.887,0.696,0.00891005868818615,"2","SUCLG1"
"LIPH",4.22311422488106e-07,0.415667070233664,0.684,0.421,0.00946062048657854,"2","LIPH"
"GGT6",4.41405677326684e-07,0.508191463356896,0.69,0.362,0.00988836998347237,"2","GGT6"
"CTSA",4.47749602845315e-07,0.294114025342823,0.75,0.562,0.0100304866029407,"2","CTSA"
